Location,Address,Size of Billboard,Literacy Rate,Male,Female,Young,Middle Age,Old Age,Poor,Middle Class,Rich,Cost,Vehicle Count
Andheri (EAST) 23143,"Vakola Flyover: Western Express Highway, Opp Reliance Energy",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,350000,9720
Andheri (EAST) 28112,"Western Express Highway Andheri, Jog Flyover, Traffic from andheri towards Bandra",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,140000,7750
Andheri (EAST) 36847,"Beside Synergizing Technologies, Traffic From Vile Parle Towards Malpa Dongri (Right Hand Side)",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,129000,7550
Andheri (EAST) 37139,"Before Andheri Flyover, Traffic from Malpa Dongri, Towards Shivaji Maharaj Smarak",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,100000,5900
Andheri (EAST) 37714,"WEH Andheri Pump house , Traffic From Andheri East Towards Kandivali East",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,131000,7600
Andheri (EAST) 37254,"Near Sai Service, Traffic From Vile Parle Towards Goregoan",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,164000,8000
Andheri (EAST) 36819,"Beside Sant Nirankari Satsang Bhawan, Traffic towards Jijamata Colony",400,91.6,53.475,46.525,45,49.8,5.2,51,17,32,41000,5500
Andheri (EAST) 36846,"Beside Synergizing Technologies, Traffic towards Malpa Dongri",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,105000,6350
Andheri (EAST) 36849,"Beside Viraj Towers, Traffic From Sai Wadi Towards Verma Nagar",1560,91.6,53.475,46.525,45,49.8,5.2,51,17,32,35000,5250
Andheri (EAST) 37741,"Beside Accelya, Traffic From Powai Towards Andheri East",625,91.6,53.475,46.525,45,49.8,5.2,51,17,32,66000,6500
Chembur 14380,"Chembur ,From Priyadarshini Towards Dadar, Sion and BKC",1600,83.4,54.054,45.946,45,49.8,5.2,64.7,15.3,20,99500,6700
Chembur 23181,"Chembur : SCLR Flyover, After Amar Mahal Junction towards EEH",1600,83.4,54.054,45.946,45,49.8,5.2,64.7,15.3,20,117500,7150
Chembur 23184,"Chembur Flyover : Sukh Shanti Ashram, Traffic from New Bombay to Sion",800,83.4,54.054,45.946,45,49.8,5.2,64.7,15.3,20,23500,4500
Chembur 36902,"Beside Bhabha Atomic Research Center Quarter, Traffic towards Siddharth Colony",500,83.4,54.054,45.946,45,49.8,5.2,64.7,15.3,20,35000,5225
Chembur 37925,"Beside Rashtriya Chemicals and Fertilizers Limited, Traffic towards Vikhroli",820,83.4,54.054,45.946,45,49.8,5.2,64.7,15.3,20,82000,6950
